TEST TYPE	UPDATE MILLISECS	NUM FIGHTER	NUM BLUE	NUM PURPLE	ALIVE
SCALAR	32	1040	16	1024	816
SCALAR	28	1040	16	1024	816
SCALAR	23	1040	16	1024	816
SCALAR	27	1040	16	1024	815
SCALAR	25	1040	16	1024	815
SCALAR	24	1040	16	1024	815
SCALAR	25	1040	16	1024	814
SCALAR	32	1040	16	1024	814
SCALAR	24	1040	16	1024	814
SCALAR	28	1040	16	1024	814
SCALAR	26	1040	16	1024	812
SCALAR	24	1040	16	1024	812
SCALAR	27	1040	16	1024	811
SCALAR	25	1040	16	1024	811
SCALAR	25	1040	16	1024	809
SCALAR	29	1040	16	1024	808
SCALAR	30	1040	16	1024	807
SCALAR	27	1040	16	1024	807
SCALAR	25	1040	16	1024	807
SCALAR	32	1040	16	1024	807
SCALAR	25	1040	16	1024	807
SCALAR	27	1040	16	1024	806
SCALAR	23	1040	16	1024	806
SCALAR	34	1040	16	1024	806
SCALAR	70	1040	16	1024	804
SCALAR	76	1040	16	1024	804
SCALAR	85	1040	16	1024	804
SCALAR	110	1040	16	1024	803
SCALAR	79	1040	16	1024	802
SCALAR	88	1040	16	1024	802
SCALAR	77	1040	16	1024	802
SCALAR	142	1040	16	1024	801
SCALAR	86	1040	16	1024	801
SCALAR	110	1040	16	1024	801
SCALAR	48	1040	16	1024	800
SCALAR	40	1040	16	1024	799
SCALAR	49	1040	16	1024	798
SCALAR	47	1040	16	1024	798
SCALAR	32	1040	16	1024	796
SCALAR	40	1040	16	1024	796
SCALAR	48	1040	16	1024	795
SCALAR	82	1040	16	1024	793
SCALAR	46	1040	16	1024	792
SCALAR	38	1040	16	1024	792
SCALAR	37	1040	16	1024	792
SCALAR	44	1040	16	1024	792
SCALAR	41	1040	16	1024	792
SCALAR	56	1040	16	1024	792
SCALAR	44	1040	16	1024	791
SCALAR	47	1040	16	1024	791
SCALAR	108	1040	16	1024	791
SCALAR	67	1040	16	1024	791
SCALAR	66	1040	16	1024	791
SCALAR	45	1040	16	1024	789
SCALAR	49	1040	16	1024	787
SCALAR	53	1040	16	1024	786
SCALAR	49	1040	16	1024	786
SCALAR	46	1040	16	1024	786
SCALAR	52	1040	16	1024	785
SCALAR	34	1040	16	1024	785
SCALAR	53	1040	16	1024	785
SCALAR	53	1040	16	1024	784
SCALAR	58	1040	16	1024	784
SCALAR	32	1040	16	1024	782
SCALAR	50	1040	16	1024	781
SCALAR	33	1040	16	1024	780
SCALAR	35	1040	16	1024	779
SCALAR	38	1040	16	1024	779
SCALAR	42	1040	16	1024	777
SCALAR	36	1040	16	1024	777
SCALAR	37	1040	16	1024	777
SCALAR	36	1040	16	1024	777
SCALAR	41	1040	16	1024	777
SCALAR	32	1040	16	1024	776
SCALAR	39	1040	16	1024	776
SCALAR	43	1040	16	1024	774
SCALAR	31	1040	16	1024	774
SCALAR	37	1040	16	1024	773
SCALAR	33	1040	16	1024	771
SCALAR	40	1040	16	1024	771
SCALAR	35	1040	16	1024	771
SCALAR	37	1040	16	1024	771
SCALAR	33	1040	16	1024	770
SCALAR	40	1040	16	1024	770
SCALAR	49	1040	16	1024	770
SCALAR	36	1040	16	1024	770
SCALAR	43	1040	16	1024	769
SCALAR	37	1040	16	1024	769
SCALAR	38	1040	16	1024	769
SCALAR	35	1040	16	1024	769
SCALAR	55	1040	16	1024	769
SCALAR	61	1040	16	1024	769
SCALAR	50	1040	16	1024	769
SCALAR	44	1040	16	1024	769
SCALAR	38	1040	16	1024	769
SCALAR	37	1040	16	1024	767
SCALAR	41	1040	16	1024	766
SCALAR	30	1040	16	1024	766
SCALAR	52	1040	16	1024	766
SCALAR	34	1040	16	1024	766
SCALAR	32	1040	16	1024	765
SCALAR	33	1040	16	1024	765
SCALAR	41	1040	16	1024	765
SCALAR	36	1040	16	1024	765
SCALAR	41	1040	16	1024	765
SCALAR	41	1040	16	1024	765
SCALAR	38	1040	16	1024	765
SCALAR	43	1040	16	1024	765
SCALAR	37	1040	16	1024	765
SCALAR	30	1040	16	1024	765
SCALAR	35	1040	16	1024	764
SCALAR	29	1040	16	1024	764
SCALAR	25	1040	16	1024	763
SCALAR	37	1040	16	1024	763
SCALAR	31	1040	16	1024	762
SCALAR	25	1040	16	1024	762
SCALAR	23	1040	16	1024	762
SCALAR	23	1040	16	1024	762
SCALAR	23	1040	16	1024	762
SCALAR	25	1040	16	1024	762
SCALAR	26	1040	16	1024	761
SCALAR	25	1040	16	1024	761
SCALAR	33	1040	16	1024	761
SCALAR	36	1040	16	1024	760
SCALAR	24	1040	16	1024	760
SCALAR	48	1040	16	1024	757
SCALAR	38	1040	16	1024	756
SCALAR	59	1040	16	1024	756
